central_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_data_access_group,analysis_local_id,gisaid_authors,assembly_method,ave_depth,missing
1080,analysis,1,ritm,COV22-607038GC,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Yao-Tsun Li, Simon Daldry, Joseph Hughes","ncov2019-artic-nf, artic 1.2.1, minimap2 2.17, nanopolish 0.13.2",129.246,94.53
1081,analysis,1,ritm,COV22-607039GC,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Yao-Tsun Li, Simon Daldry, Joseph Hughes","ncov2019-artic-nf, artic 1.2.1, minimap2 2.17, nanopolish 0.13.2",5.69,5.45
1082,analysis,1,ritm,COV22-607040GC,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Yao-Tsun Li, Simon Daldry, Joseph Hughes","ncov2019-artic-nf, artic 1.2.1, minimap2 2.17, nanopolish 0.13.2",262.479,98.56
1083,analysis,1,ritm,COV22-607041GC,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Yao-Tsun Li, Simon Daldry, Joseph Hughes","ncov2019-artic-nf, artic 1.2.1, minimap2 2.17, nanopolish 0.13.2",0.152527,0
1084,analysis,1,ritm,COV22-607042GC,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Yao-Tsun Li, Simon Daldry, Joseph Hughes","ncov2019-artic-nf, artic 1.2.1, minimap2 2.17, nanopolish 0.13.2",144.669,96.33
1085,analysis,1,ritm,COV22-607050GC,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Yao-Tsun Li, Simon Daldry, Joseph Hughes","ncov2019-artic-nf, artic 1.2.1, minimap2 2.17, nanopolish 0.13.2",231.659,96.93
1086,analysis,1,ritm,COV22-607051GC,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Yao-Tsun Li, Simon Daldry, Joseph Hughes","ncov2019-artic-nf, artic 1.2.1, minimap2 2.17, nanopolish 0.13.2",128.841,94
1087,analysis,1,ritm,COV22-607052GC,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Yao-Tsun Li, Simon Daldry, Joseph Hughes","ncov2019-artic-nf, artic 1.2.1, minimap2 2.17, nanopolish 0.13.2",81.6683,86.99
1088,analysis,1,ritm,COV22-607053GC,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Yao-Tsun Li, Simon Daldry, Joseph Hughes","ncov2019-artic-nf, artic 1.2.1, minimap2 2.17, nanopolish 0.13.2",178.203,97.76
1089,analysis,1,ritm,COV22-607054GC,"Francisco Gerardo M. Polotan, Gerald Ivan S. Sotelo, Ardiane Ysabelle M. Dolor, Anne Pauline A. Alpino, Jefferson Earl J. Halog, Othoniel Jan T. Onza, Ma. Angelica A. Tujan, Amalea Dulcene D. Nicolasora, Joy Mariette L. Parayray, Criselda T. Bautista, Vina Lea F. Arguelles, Alexander Sadiasa, Catalino S. Demetria, Lei Lanna M. Dancel, Mayan Uy-Lumandas, Timothy John R. Dizon, Kirstyn Brunker, Yao-Tsun Li, Simon Daldry, Joseph Hughes","ncov2019-artic-nf, artic 1.2.1, minimap2 2.17, nanopolish 0.13.2",21.493,39.38
