central_id,local_id
13-98,B2915
13-98,
13-98,
13-99,B2933
13-99,
13-99,
13-100,A(2) 25433
13-100,
13-100,
14,COV21-388625
14,
14,
14,
14,
14-1,0521-03092
14-1,
14-1,
14-2,0521-02116
14-2,
14-2,
14-3,0521-02477
14-3,
14-3,
14-4,0521-02480
14-4,
14-4,
14-5,0521-02481
14-5,
14-5,
14-6,0521-02869
14-6,
14-6,
14-7,0521-03073
14-7,
14-7,
14-8,0521-03074
14-8,
14-8,
14-9,0521-03093
14-9,
14-9,
14-10,0521-03097
14-10,
14-10,
14-11,13442
14-11,
14-11,
14-12,13433
14-12,
14-12,
14-13,13264
14-13,
14-13,
14-14,13263
14-14,
14-14,
14-15,13235
14-15,
14-15,
14-16,13236
14-16,
14-16,
14-17,12872
14-17,
14-17,
14-18,12606
14-18,
14-18,
14-19,12519
14-19,
14-19,
14-20,12197
14-20,
14-20,
14-21,12195
14-21,
14-21,
14-22,12194
14-22,
14-22,
14-23,12189
14-23,
14-23,
14-24,12187
14-24,
14-24,
14-25,12181
14-25,
14-25,
14-26,12161
14-26,
14-26,
14-27,12156
14-27,
14-27,
14-28,12152
14-28,
14-28,
14-29,12469
14-29,
14-29,
14-30,12243
14-30,
14-30,
14-31,12242
14-31,
14-31,
14-32,12240
14-32,
14-32,
14-33,12237
14-33,
14-33,
14-34,12236
14-34,
14-34,
14-34,
14-34,
14-35,12134
14-35,
14-35,
14-35,
14-35,
14-36,12132
14-36,
14-36,
14-36,
14-36,
14-37,12088
14-37,
14-37,
14-37,
14-37,
14-38,11996
14-38,
14-38,
14-38,
14-38,
14-39,11936
14-39,
14-39,
14-39,
14-39,
14-40,11929
14-40,
14-40,
14-40,
14-40,
14-41,11919
14-41,
14-41,
14-41,
14-41,
14-42,11914
14-42,
14-42,
14-42,
14-42,
14-43,2447
14-43,
14-43,
14-43,
14-43,
14-44,11906
14-44,
14-44,
14-44,
14-44,
14-45,11892
14-45,
14-45,
14-45,
14-45,
14-46,11889
14-46,
14-46,
14-46,
14-46,
14-47,11885
14-47,
14-47,
14-47,
14-47,
14-48,11879
14-48,
14-48,
14-48,
14-48,
14-49,11874
14-49,
14-49,
14-49,
14-49,
14-50,01666
14-50,
14-50,
14-50,
14-50,
15,COV21-389870
15,
15,
16,COV21-389359
16,
16,
16,
16,
16-1,S1
16-1,
16-1,
16-2,S2
16-2,
16-2,
16-3,S3
16-3,
16-3,
16-4,S4
16-4,
16-4,
16-5,S5
16-5,
16-5,
16-6,S6
16-6,
16-6,
16-7,S7
16-7,
16-7,
16-8,S8
16-8,
16-8,
16-9,S9
16-9,
16-9,
16-10,S10
16-10,
16-10,
16-11,S11
16-11,
16-11,
16-12,S12
16-12,
16-12,
16-13,S13
16-13,
16-13,
16-14,S14
16-14,
16-14,
16-15,S15
16-15,
16-15,
16-16,S16
16-16,
16-16,
16-17,S17
16-17,
16-17,
16-18,S18
16-18,
16-18,
16-19,S19
16-19,
16-19,
16-20,S20
16-20,
16-20,
16-21,S21
16-21,
16-21,
16-22,S22
16-22,
16-22,
16-23,S23
16-23,
16-23,
16-24,S24
16-24,
16-24,
16-25,S25
16-25,
16-25,
16-26,S26
16-26,
16-26,
16-27,S27
16-27,
16-27,
16-28,S28
16-28,
16-28,
16-29,S29
16-29,
16-29,
16-30,S30
16-30,
16-30,
16-31,S31
16-31,
16-31,
16-32,S32
16-32,
16-32,
16-33,S33
16-33,
16-33,
17,COV21-391467
17,
17,
17,
17,
17-1,COVID-PCR-21-20293
17-1,
17-1,
17-2,COVID-PCR-21-20329
17-2,
17-2,
17-3,COVID-PCR-21-20847
17-3,
17-3,
17-4,COVID-PCR-21-20785
17-4,
17-4,
17-5,COVID-PCR-21-20783
17-5,
17-5,
17-6,COVID-PCR-21-23421
17-6,
17-6,
17-7,COVID-PCR-21-21000
17-7,
17-7,
17-8,COVID-PCR-21-20996
17-8,
17-8,
17-9,COVID-PCR-21-21718
17-9,
17-9,
17-10,COVID-PCR-21-21707
17-11,COVID-PCR-21-20346
17-11,
17-11,
17-12,COVID-PCR-21-20663
17-12,
17-12,
17-13,COVID-PCR-21-20761
17-13,
17-13,
17-14,COVID-PCR-21-20759
17-14,
17-14,
17-15,COVID-PCR-21-20750
17-15,
17-15,
17-16,COVID-PCR-21-20940
17-16,
17-16,
17-17,COVID-PCR-21-20318
17-17,
17-17,
17-18,COVID-PCR-21-20319
17-18,
17-18,
17-19,COVID-PCR-21-20524
17-19,
17-19,
17-20,COVID-PCR-21-20526
17-20,
17-20,
17-21,COVID-PCR-21-20435
17-22,COVID-PCR-21-21085
17-23,COVID-PCR-21-21082
17-23,
17-23,
17-24,COVID-PCR-21-20972
17-24,
17-24,
17-25,COVID-PCR-21-20970
17-25,
17-25,
17-26,COVID-PCR-21-20272
17-26,
17-26,
17-27,COVID-PCR-21-20837
17-27,
17-27,
17-28,COVID-PCR-21-20839
17-29,COVID-PCR-21-20836
17-29,
17-29,
17-30,COVID-PCR-21-20831
17-30,
17-30,
17-31,COVID-PCR-21-20514
17-31,
17-31,
17-32,COVID-PCR-21-20516
17-32,
17-32,
17-33,COVID-PCR-21-20547
17-33,
17-33,
17-34,COVID-PCR-21-20569
17-34,
17-34,
17-35,COVID-PCR-21-21871
17-35,
17-35,
17-36,COVID-PCR-21-29789
17-36,
17-36,
17-37,COVID-PCR-21-29782
17-37,
17-37,
17-38,COVID-PCR-21-30236
17-38,
17-38,
17-39,COVID-PCR-21-30228
17-39,
17-39,
17-40,COVID-PCR-21-30219
17-40,
17-40,
17-41,COVID-PCR-21-30481
17-42,COVID-PCR-21-31443
17-43,COVID-PCR-21-31445
17-43,
17-43,
17-44,COVID-PCR-21-31435
17-44,
17-44,
17-45,COVID-PCR-21-31415
17-45,
17-45,
17-46,COVID-PCR-21-31425
17-46,
17-46,
17-47,COVID-PCR-21-31314
17-47,
17-47,
17-48,COVID-PCR-21-31227
17-48,
17-48,
17-49,COVID-PCR-21-31226
17-49,
17-49,
17-50,COVID-PCR-21-31183
17-50,
17-50,
17-51,COVID-PCR-21-31182
17-51,
17-51,
17-52,COVID-PCR-21-31162
17-53,COVID-PCR-21-46911
17-54,COVID-PCR-21-31136
17-55,COVID-PCR-21-31111
17-56,COVID-PCR-21-46912
17-57,COVID-PCR-21-30558
17-58,COVID-PCR-21-30536
17-59,COVID-PCR-21-30387
17-60,COVID-PCR-21-30336
18,COV20-379140
18,
18,
18,
18,
19,COV20-380565
19,
19,
19,
19,
20,COV20-386365
20,
20,
21,COV20-154553RH
21,
21,
22,COV20-122672R
22,
22,
23,NCOV-20-026
23,
23,
24,NCOV-20-062
24,
24,
25,NCOV-20-057
25,
25,
26,NCOV-20-1270
26,
26,
27,NCOV-20-1296
27,
27,
28,NCOV-20-1353
28,
28,
29,NCOV-20-1346
29,
29,
30,COV20-03591
30,
30,
31,NCOV-20-2239
31,
31,
32,NCOV-20-2605
32,
32,
33,COV20-03311
33,
33,
34,COV20-04118
34,
34,
35,COV20-04272
35,
35,
36,COV20-04396
36,
36,
37,COV20-116139RH
37,
37,
38,COV20-122414
38,
38,
39,COV20-123022
39,
39,
40,COV20-327352BN
40,
40,
41,COV20-282913
41,
41,
42,COV20-302774
42,
42,
43,COV20-302775
43,
43,
44,COV20-323822
44,
44,
45,COV20-338066
45,
45,
46,COV20-357100
46,
46,
47,COV20-259465
47,
47,
48,COV20-243757
48,
48,
49,COV20-291585
49,
49,
50,COV20-342179
50,
50,
51,COV20-367248
51,
51,
52,test2
54,NCOV-20-4616
54,
54,
55,NCOV-20-3906
55,
55,
56,COV20-02368R
56,
56,
57,COV20-32292
57,
57,
58,COV20-27821
58,
58,
59,COV20-34629
59,
59,
60,COV20-34755
60,
60,
61,COV20-27623
61,
61,
62,COV20-83121
62,
62,
63,COV20-118880
63,
63,
64,COV20-83118
64,
64,
65,COV20-117170
65,
65,
66,COV20-151241
66,
66,
67,COV20-120503
67,
67,
68,COV20-141444
68,
68,
69,COV20-111728
69,
69,
70,COV20-128092
70,
70,
71,COV20-113486
71,
71,
72,COV20-154547
72,
72,
73,COV20-118536
73,
73,
74,COV20-152798
74,
74,
75,COV20-112122
75,
75,
76,COV20-103608
76,
76,
77,COV20-109368
77,
77,
78,COV21-389511
78,
78,
78,
79,COV21-407300
79,
79,
79,
80,COV21-398414
80,
80,
80,
81,COV21-399383
81,
81,
81,
82,COV21-438840
82,
82,
82,
83,COV21-401284
83,
83,
83,
84,COV21-389568
84,
84,
84,
85,COV21-415782
85,
85,
85,
86,COV21-423879
86,
86,
86,
87,COV21-425680
87,
87,
87,
88,COV21-411687
88,
88,
88,
89,COV21-424934
89,
89,
89,
90,COV21-423891
90,
90,
90,
91,COV21-409612
91,
91,
91,
92,COV21-430838
92,
92,
92,
93,COV21-434367
93,
93,
93,
94,COV21-429703
94,
94,
94,
95,COV21-430979
95,
95,
95,
96,COV21-438777
96,
96,
96,
97,COV21-438730
97,
97,
97,
98,COV21-438839
98,
98,
98,
99,COV21-438577
99,
99,
99,
100,COV21-438901
100,
100,
100,
101,COV21-438787
101,
101,
101,
102,NCOV-20-4189
102,
102,
102,
103,NCOV-20-2499
103,
103,
103,
104,NCOV-20-4930
104,
104,
104,
105,NCOV-20-3616
105,
105,
105,
106,NCOV-20-4260
106,
106,
106,
107,NCOV-20-3777
107,
107,
107,
108,NCOV-20-2764
108,
108,
108,
109,NCOV-20-5322
109,
109,
109,
110,NCOV-20-4817
110,
110,
110,
111,NCOV-20-5099
111,
111,
111,
112,NCOV-20-4832
112,
112,
112,
113,NCOV-20-4602
113,
113,
113,
114,COV21-445377R
114,
114,
114,
114,
115,COV21-453155RH
115,
115,
115,
115,
116,COV21-454775RH
116,
116,
116,
116,
117,COV21-466708RH
117,
117,
117,
117,
118,COV21-467794RH
118,
118,
118,
118,
119,COV21-472239RH
119,
119,
119,
119,
120,COV21-463644RH
120,
120,
120,
120,
121,COV21-476010RH
121,
121,
121,
121,
122,COV21-477823RH
122,
122,
122,
122,
123,COV21-482702RH
123,
123,
123,
123,
124,COV21-480606RH
124,
124,
124,
124,
125,COV21-495699RH
125,
125,
125,
125,
126,COV21-509723RH
126,
126,
126,
126,
127,COV21-514451RH
127,
127,
127,
127,
128,COV21-448043RH
128,
128,
128,
128,
129,COV21-477349RH
129,
129,
129,
129,
130,COV21-373531
130,
130,
130,
130,
131,COV20-119157RH
131,
131,
131,
131,
132,
133,COV21-488671RH
133,
133,
133,
134,COV21-520061RH
134,
134,
134,
135,COV21-512615R
135,
135,
135,
136,COV21-518905RH
136,
136,
136,
137,COV21-518604RH
137,
137,
137,
138,COV21-529389RH
138,
138,
138,
139,COV21-528383RH
139,
139,
139,
140,COV21-506737RH
140,
140,
140,
141,COV21-539295RH
141,
141,
141,
